Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
1,"AA Alamri, BP Bailey",Examination of the effectiveness of a criteria-based team formation tool,2018,2018 IEEE Frontiers in Education …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8658483/,"https://scholar.google.com/scholar?cites=5691453642759598191&as_sdt=2005&sciodt=0,5&hl=en",111,1,0.5,1,2,2,"In this Research Work in Progress Paper, we examine the effectiveness of CATME, a tool that implements a criteria-based team formation approach. The tool facilitates forming teams based on criteria like demographics, skills, and work styles. This information is collected …"
0,"R Jeremy, SB Prasad, W Ahmar, Y Malaiapan…",Lung and Circulation,,heartlungcirc.org,,https://www.heartlungcirc.org/article/S1443-9506(10)01550-7/abstract,,112,0,0,0,5,,"REVIEW 11 Drug-eluting Stents for the Treatment of Acute Myocardial Infarction: The View to the HORIZONS Sandhir B. Prasad, Walid Ahmar, Yuvaraj Malaiapan and Ian T. Meredith … ORIGINAL ARTICLES 19 Long-term Mortality After Primary Percutaneous Coronary Intervention …"
0,"P Thanyasiri, BP Bailey, D Breiger…",Restenosis in diabetic patients: Predictors of long-term success,2003,"Heart, Lung and …",heartlungcirc.org,https://www.heartlungcirc.org/article/S1443-9506(03)90364-7/abstract,,113,0,0,0,4,17,Background Restenosis following percutaneous coronary intervention (PCI) is common and continues to limit the long-term success of the procedure. Diabetic patients have a high incidence of complications and restenosis compared to the general population. Identification …
0,"GJ Martínez, J Molina, M Byrom, R Puranik…","How should I treat a complex critical left main bifurcation lesion in a patient with poor left ventricular function, an occluded dominant right coronary artery and severe …",2015,… : journal of EuroPCR …,ncbi.nlm.nih.gov,https://www.ncbi.nlm.nih.gov/pubmed/25692609,,114,0,0,0,5,5,"How should I treat a complex critical left main bifurcation lesion in a patient with poor left ventricular function, an occluded dominant right coronary artery and severe peripheral vascular disease … Martínez GJ(1), Molina J, Byrom M, Puranik R, Ng B, Bailey BP, Patel S, Dworakowski …"
0,"ST Iqbal, PD Adamczyk, XS Zheng, BP Bailey",Understanding Changes in Mental Workload during Task Execution,2004,,ideals.illinois.edu,http://www.ideals.illinois.edu/handle/2142/10901,,115,0,0,0,4,16,"To contribute to systems that reason about human attention, our work empirically demonstrates how a user's mental workload changes during task execution. We conducted a study where users performed interactive, hierarchical tasks while mental workload was …"
0,"C Drexelius, RU Talwalkar, B Cho, BP Bailey",SNARF Taxonomies for Sketching Novel and Realistic Functionality.,2005,SBM,orchid.cs.illinois.edu,http://orchid.cs.illinois.edu/publications/eurographics-2005-snarf.pdf,,116,0,0,0,4,15,"Paper prototyping is often used during the critical stage of early design. While paper prototyping requires a small time investment, it can fail to accurately convey the application's behavior. Existing computerized tools allow designers to express both appearance and …"
0,"JT Biehl, WT Baker, BP Bailey",An Application Framework Supporting Group-Based Software Development Activities,,researchgate.net,,https://www.researchgate.net/profile/Jacob_Biehl/publication/240725625_An_Application_Framework_Supporting_Group-Based_Software_Development_Activities/links/53ee27160cf26b9b7dc64cf2/An-Application-Framework-Supporting-Group-Based-Software-Development-Activities.pdf,,117,0,0,0,3,,"Existing tools do not adequately support the emerging practice of group-based software development, which is aimed at improving software quality. In this paper, we present a new, fully functional application framework called ClubDev. Our system allows developers to …"
0,"SR Miller, BP Bailey, A Kirlik",Towards the development of an objective assessment technique for use in engineering design education,2012,119th ASEE Annual …,pennstate.pure.elsevier.com,https://pennstate.pure.elsevier.com/en/publications/towards-the-development-of-an-objective-assessment-technique-for--2,,118,0,0,0,3,8,"Abstract Design is now considered to be the central or distinguishing activity of engineering and thus is being widely integrated throughout engineering education. However, engineering programs face special challenges in assessing student design abilities …"
0,"R Puranik, B Ng, BP Bailey, S Patel","How should I treat a complex critical left main bifurcation lesion in a patient with poor left ventricular function, an occluded dominant right coronary artery and …",2015,,researchgate.net,https://www.researchgate.net/profile/Javier_Molina-Martin_De_Nicolas/publication/272514818_How_should_I_treat_a_complex_critical_left_main_bifurcation_lesion_in_a_patient_with_poor_left_ventricular_function_an_occluded_dominant_right_coronary_artery_and_severe_peripheral_vascular_disease/links/569f763408ae4af52546a0d9/How-should-I-treat-a-complex-critical-left-main-bifurcation-lesion-in-a-patient-with-poor-left-ventricular-function-an-occluded-dominant-right-coronary-artery-and-severe-peripheral-vascular-disease.pdf,,119,0,0,0,4,5,"BACKGROUND: A 75-year-old male presented with an acute coronary syndrome. INVESTIGATION: cardiac MRI, coronary angiogram, CT scan, ECG, echocardiogram, laboratory investigations, physical examination. DIAGNOSIS: Severe three-vessel disease …"
0,"YCG Yen, JO Kim, BP Bailey",Decipher: An Interactive Visualization Tool for Interpreting Unstructured Design Feedback from Multiple Providers,2020,Proceedings of the 2020 CHI Conference …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3313831.3376380,,120,0,0,0,3,1,"Feedback from diverse audiences can vary in focus, differ in structure, and contradict each other, making it hard to interpret and act on. While prior work has explored generating quality feedback, our work helps a designer interpret that feedback. Through a formative …"
0,"DJ Cook, JT Biehl, HE Metcalf, BP Bailey",Adapting Paper Prototyping Techniques for Interactive Workspaces,2005,,ideals.illinois.edu,http://www.ideals.illinois.edu/handle/2142/11084,,121,0,0,0,4,15,A key technique for evaluating early design ideas is the use of low-fidelity prototypes. Low-fidelity prototypes allow for rapid iterations that significantly improve the interface design with minimal investment of time and resources. Though these techniques are designed for use in …
0,"M Sharmin, BP Bailey",Reflecting on Reflection in Creative Design,2011,,ideals.illinois.edu,http://www.ideals.illinois.edu/handle/2142/27683,,122,0,0,0,2,9,"Reflection is an integral part of the creative design process. However, details of designers' reflective practices are less known, painting reflection as an enigmatic, un-orderly, and irregular process. This also resulted in design tools that offer little support for facilitating …"
0,"A Xu, BP Bailey",A system for receiving crowd feedback on visual designs,2014,Proceedings of the companion publication of the 17th …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/2556420.2556791,,123,0,0,0,2,6,"This paper proposes a demonstration of Voyant, a novel system giving users access to a non-expert crowd to receive structured feedback on the perceptions of their designs from a target audience. Voyant generates the elements seen in a design, the order in which …"
0,"DJ Cook, HE Metcalf, BP Bailey",Supporting Collaboration in Creative Design,2005,,ideals.illinois.edu,http://www.ideals.illinois.edu/handle/2142/11102,,124,0,0,0,3,15,"As design problems become more complex, there is an increasing need to build tools that support the intersection of collaboration, creativity, and design. Founded on design requirements taken from research in these three areas, we have created SCWID: a tool for …"
0,"JT Biehl, BP Bailey","Evaluating Interaction Techniques in an Interactive Workspace: Comparing the Effectiveness of a Textual Interface, Virtual Paths Interface, and ARIS",2004,,ideals.illinois.edu,http://www.ideals.illinois.edu/handle/2142/10902,,125,0,0,0,2,16,"ARIS is an interface that enables users to visually relocate applications and redirect input among myriad devices in an interactive workspace. While we previously claimed that ARIS is more effective than other interfaces for performing these tasks, this work seeks to …"
0,"A Mahajan, K Nahrstedt, BP Bailey…",A System to Remotely Control the Display of Applications in a Multi-display Environment,2003,E-Learn: World …,learntechlib.org,https://www.learntechlib.org/p/11878/,,126,0,0,0,4,17,"When people work collaboratively with physical forms of information such as post-it notes, charts, or storyboards, they often place them on a wall, where they can easily view, annotate, and organize the information. With advances in ubiquitous computing technology, rooms …"
0,BP Bailey,Are 3-D ICs ready for prime time?,2012,,experts.illinois.edu,https://experts.illinois.edu/en/publications/are-3-d-ics-ready-for-prime-time,,127,0,0,0,1,8,Skip to main content …
0,"JT Biehl, BP Bailey",An Interface Toolkit for Interactive Workspaces,2004,,ideals.illinois.edu,http://www.ideals.illinois.edu/handle/2142/10936,,128,0,0,0,2,16,"To work productively in an interactive workspace, users need effective interfaces to seamlessly share, annotate, and juxtapose digital information across heterogeneous devices. Building on an existing infrastructure for interactive workspaces, we developed an …"
0,"BP Bailey, HJ Peak",THE CLINICAL PROFILE OF HYPERTROPHIC CARDIOMYOPATHY,1977,Medical Journal of Australia,Wiley Online Library,https://onlinelibrary.wiley.com/doi/abs/10.5694/j.1326-5377.1977.tb76714.x,,129,0,0,0,2,43,"Seven cases of hypertrophic cardiomyopathy, presenting in a cardiological practice over a period of three years, are documented to illustrate the clinical spectrum of this disease. Frequently this disorder presents with symptoms resembling those of ischaemic heart …"
0,"ST Iqbal, BP Bailey",Effects of Intelligent Notification Scheduling,2007,,ideals.illinois.edu,http://www.ideals.illinois.edu/handle/2142/11388,,130,0,0,0,2,13,This work reports results from two studies investigating intelligent notification scheduling. The first study tested the performance of composite statistical models for detecting and differentiating three granularities (types) of breakpoints within novel task sequences. Results …
0,"Y Hsu, BP Bailey, SY Tettegah, TJ Bradley, ST Shen…","Towards optimal navigation through video content on interactive TV 723 Jinwoo Kim, Hyunho Kim and Kyungwook Park A method for conflict detection …",,ieeexplore.ieee.org,,https://ieeexplore.ieee.org/abstract/document/8155877/,,131,0,0,0,6,,"Page 1. VI Contents continued from back cover Towards optimal navigation through video content on interactive TV 723 Jinwoo Kim, Hyunho Kim and Kyungwook Park A method for conflict detection based on team intention inference 747 Taro Kanno, Keiichi Nakata and Kazuo Furuta …"
0,"JT Biehl, BP Bailey",Part Two-Long Papers-Interface Design-A Toolset for Creating Iconic Interfaces for Interactive Workspaces,2005,Lecture Notes in Computer …,"Berlin: Springer-Verlag, 1973-",,,132,0,0,0,2,15,
0,"BP Bailey, A Kirlik",AC 2012-4614: TOWARDS THE DEVELOPMENT OF AN OBJECTIVE ASSESSMENT TECHNIQUE FOR USE IN ENGINEERING DESIGN ED-UCATION,,age,peer.asee.org,https://peer.asee.org/22123.pdf,,133,0,0,0,2,,"Abstract Design is now considered to be the central or distinguishing activity of engineering and thus is being widely integrated throughout engineering education. However, engineering programs face special challenges in assessing student design abilities …"
0,"ST Iqbal, BP Bailey",Understanding and Developing Models for Detecting and Differentiating Breakpoints during Task Execution,2006,,ideals.illinois.edu,http://www.ideals.illinois.edu/handle/2142/11263,,134,0,0,0,2,14,"The ability to detect and differentiate breakpoints during task execution is critical for enabling defer-to-breakpoint policies within interruption management. In this work, we examine the feasibility of building models that are capable of detecting and differentiating three …"
0,"JT Biehl, WT Baker, BP Bailey",ClubDev: A System for Supporting Group-Based Software Development Activities,2007,,ideals.illinois.edu,http://www.ideals.illinois.edu/handle/2142/11323,,135,0,0,0,3,13,"Existing tools do not adequately support the emerging practice of group-based software development, which is aimed at improving software quality. In this paper, we present a new, fully functional system called ClubDev. Our system allows developers to quickly share off-the …"
0,"JT Biehl, BP Bailey",Interfaces for Managing Information in Distributed Display Environments,,orchid.cs.illinois.edu,,http://orchid.cs.illinois.edu/publications/acm-chi-2005-dde-workshop-biehl-bailey.pdf,,136,0,0,0,2,,"Interactive workspaces are distributed display environments where users can seamlessly manage information across displays. A key element of interactive workspaces is that they are comprised of multiple, independent devices linked through sophisticated software and …"
0,"M DeJong, BP Bailey, JA Konstan",Creating a Multimedia Extension for Tcl Using the Java Media Framework.,1998,Tcl/Tk Conference,usenix.org,https://www.usenix.org/legacy/events/tcl98/tcl98/full_papers/dejong/dejong.pdf,,137,0,0,0,3,22,"As multimedia capable computers become cheaper and more pervasive in the consumer and corporate markets, and as the availability of digital information increases, the need for low-cost, cross-platform multimedia applications will steadily rise. However, because Tcl …"
0,BP Bailey,A Distributed Display System for Interactive Sketching,,152.33.80.122,,http://152.33.80.122/dhutchings/dde/submissions/bailey.pdf,,138,0,0,0,1,,"When using physical tools, designers can sketch artifacts and spread them about the walls of a room to explore, communicate, and juxtapose design ideas. However, when using electronic sketching tools, designers are typically confined to the use of a physically smaller …"
0,"KE Medina, BP Bailey",Exactly What I Was Looking For: Adding Context to Internet Information Seeking,,,,,,139,0,0,0,2,,
0,"BP Bailey, JA Konstan",Authoring Languages,2001,Wiley Encyclopedia of Electrical and …,Wiley Online Library,https://onlinelibrary.wiley.com/doi/abs/10.1002/047134608X.W6904,,140,0,0,0,2,19,"Multimedia presentations utilize content derived from a variety of information sources in order to convey a message to a viewer. Examples of multimedia content include recorded and synthesized audio, video, still images, bitmap and vector graphics, animations, and text. Although a message …"
0,BP Bailey,Program chair welcome,2017,C and C 2017-Proceedings of the 2017 ACM …,experts.illinois.edu,https://experts.illinois.edu/en/publications/program-chair-welcome,,141,0,0,0,1,3,"Bailey, BP (2017). Program chair welcome. C and C 2017 - Proceedings of the 2017 ACM SIGCHI Conference on Creativity and Cognition, iv-v … In: C and C 2017 - Proceedings of the 2017 ACM SIGCHI Conference on Creativity and Cognition, 22.06.2017, p. iv-v … Bailey, BP …"
0,"TY Chang, NA Chilson, BP Bailey",A Framework for Specifying and Monitoring User Tasks,2004,,ideals.illinois.edu,http://www.ideals.illinois.edu/handle/2142/10900,,142,0,0,0,3,16,"Knowledge about user task execution can help systems better reason about when to interrupt users. To enable recognition and forecasting of task execution, we develop a novel framework for specifying and monitoring user task sequences. For task specification, our …"
